incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
141244,27/05/2014,0,0,0.54126519,0.718816702,0,0::12||1::5||2::40,0::Female||1::Male||2::Male||3::Female,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139518,27/05/2014,0,1,0.642010062,0.789068522,0,0::74,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
149433,27/05/2014,0,1,0.536486734,0.844574183,0,1::19,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141160,27/05/2014,0,0,0.525607009,0.870795351,0,1::20,1::Male||2::Male,1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139472,27/05/2014,1,1,0.653153118,0.839160083,0,0::41||1::40||2::19,0::Male||2::Male,0::Killed||1::Injured||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
147287,27/05/2014,1,0,0.518994476,0.82287961,0,0::34||1::35,0::Female||1::Male,0::Killed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139751,27/05/2014,1,0,0.60226249,0.822222199,0,0::27||1::21,0::Male||1::Male||2::Male,0::Killed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141913,27/05/2014,0,0,0.497201146,0.763970255,0,1::21,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139578,27/05/2014,0,0,0.661199342,0.785942638,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
184436,27/05/2014,0,0,0.720162372,0.650169177,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140016,27/05/2014,0,0,0.598072294,0.607342012,0,0::32||1::23,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140501,27/05/2014,0,0,0.607071745,0.916517247,0,1::20,0::Male||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
184443,27/05/2014,0,0,0.556435208,0.799558474,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139696,27/05/2014,0,1,0.525249741,0.46534117,0,0::15,0::Female,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140317,27/05/2014,0,1,0.461631451,0.763801661,0,0::24,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140407,27/05/2014,0,0,0.634322647,0.942128719,0,1::20,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
